observation1, observation2, generated hypothesis, real hypothesis
The mayor wanted the town to decide how to use the warehouse.,The next year he quit his day job and went on the road.,The mayor wanted to know if the town needed a new stadium. The mayor wanted to know if the town needed a stadium. The mayor knew the town needs a stadium,Nobody listened to him despite his great ideas.
Jim ordered a new tablet off of the internet on black friday.,They shipped him a new tablet because the other was lost in transit.,Jim lost his tablet in the drain. he was looking for it. So he had to buy a new tablet,Jim did not receive it and filed a complaint.
Sally really loves to play soccer.,She won her first game by scoring the winning goal!,Sally practiced every day. So she joined a soccer team. So she played soccer with a friend,Sally practiced playing soccer everyday.
Lisa told everyone she was a great cook.,Her friends were shocked when it was boxed macaroni and cheese!,Lisa made a macaroni and cheese. She wanted to make something special. i decided to make a new kind of macaroni,Lisa brought the dish out and served everyone.
May hated doing dishes.,May was so relieved that her dishes were all done now!,May decided to do the dishes anyway. So she didn't wash them. So she didn't do them,May did all of her dishes.
I was painting my nails yesterday when I needed remover.,I had to open the window to get the smell out.,I accidentally spilled juice on my nails. I tried to clean the house. I had to rush to get the nail out of the house,I was getting lightheaded looking for it.
Jimmy was washing his car.,Dirt particles from the cloth had rubbed against his car's paint job.,Jimmy dropped a bottle of paint. he spilled some on his car. he spilled some on his car,His child ran up and threw mud balls at him.
Maggie noticed a bat was flying around her ceiling.,It was the bat.,She screamed and ran downstairs to see what it was. The bat flew towards the ceiling. She screamed and ran downstairs,There was a screeching sound from above.
Yesterday I went to Macy's.,Luckily I was able to return it.,I found a broken item in the clearance rack. I wanted to buy a new dress. I had to buy a new dress,The sweater I purchased was too small.
Nina brushed her beautiful brown hair.,She forced herself to be more gentle.,Nina's mother was cruel to her. Nina got a bad brush. She brushed her hair,Nina saw a lot of hair in her brush.
Sally mom told her they didn't have money to pay the light bill.,Her mom paid the light bill.,Sally's mom asked her to pay the light bill. So she asked her mom to pay the light. So she asked her mom to pay the light,sally reminded her mom had some money in the savings account.
Michael was playing a video game.,He was banned from the game.,Michael was playing a new game. He was playing a new game. He was playing a new game,Michael began harassing a female player in the game.
Jack stole a small boy's bike.,Jack returned the bike and hasn't stolen any since.,Jack's bike was stolen. Jack was going to steal his bike. He was going to steal his own bike,Jacks mom found out and punished him and made him apologize.
Gina had a friend named Ruth who lived across the street.,Gina was shocked since she had no idea Ruth had been stealing.,Ruth stole money from Gina. She had a friend named Ruth. So she had a friend named Ruth,The cops showed up to raid Ruth's house.
James was a fire chief who wanted to retire to Florida.,The kitchen is always crowded when James makes his Eggplant Parmesan!,James was asked to leave. So he decided to start working at a local Italian restaurant. So he decided to start working at a local Italian place,After James retired he became a chef.
Lucy rented a movie to watch at home.,Lucy sat with tears running down her face as the credits played.,Lucy's parents were not happy with the movie. lucy did not like the movie. she decided to watch a horror movie,The move had a sad ending.
Chad bought a new car.,Chad was reduced to taking the bus and walking once again.,Chad was tired of being stuck in traffic. it was too cold. it was cold,chat got in a car accident.
Samantha was drenched in sweat.,Samantha was glad that it was just a dream.,Samantha woke up and felt very tired. So she decided to go for a run. So she decided to run,Samantha had a nightmare.
Tom was looking for a flower for his girlfriend today.,Tom walked out of the store with the pretty flower in hand.,Tom went to the flower shop. So Tom bought a flower. So Tom went to the flower shop,Tom looked around a long time for a flower.
Chase had a loose tooth.,When his tooth came out he was relieved.,Chase went to the dentist. Chase had to get a tooth pulled. Chase had a tooth pulled,Chase jumped on the tramp and his tooth fell out.
Steve saw some sushi in the fridge.,His roommate was fine with it.,Steve's roommate thought the sushi was gross. i was nervous to try sushi. i was nervous to try sushi,Steve ate it and it turned out to be his roommates.
Shirley was pregnant and had just gone into labor.,Before she could wrap her head around it her baby was born.,Shirley was very excited to have her baby. She was very excited to have her baby. She was very excited to have it,Shirley barely experienced pain.
Beth broke her leg.,Now it stinks very bad.,Beth had to clean up the mess that was made. Beth spilled soda on her leg. So she stepped on a piece of glass,Beth had a cast on for weeks.
There was a rumble in the park.,Just then the police showed up.,There was a big crime scene. and the police were called. and the police were called,Gunshots went off loudly.
Jon wanted to know more about birds so he went to the library.,Jon ran out of the library and never went there again.,He found out there were birds in the library. he wanted to know more about birds. he went to the library,Jon's peers made fun of the book he chose.
Joey accidentally drove his truck off the road Christmas morning.,Joey made it home in time for Christmas dinner.,Joey's truck was not acting properly. He was in a hurry and didn't see the fire. He was driving too fast,Joey happened to have AAA.
Brenda went on a vacation to Vegas.,She left Vegas knowing she had a good time.,Brenda had a great time gambling. She had a great time gambling. She went to a casino,She danced and gambled the whole time.
